gisaid_epi_isl,division,location,pangolin_lineage,date_submitted
EPI_ISL_454931,Hubei,Wuhan,B,2020-05-29
EPI_ISL_421234,Hangzhou,,B,2020-04-07
EPI_ISL_452334,Beijing,,B.1.1,2020-05-27
EPI_ISL_430734,Beijing,,B,2020-04-27
EPI_ISL_416336,Shanghai,,B,2020-03-20
EPI_ISL_454957,Hubei,Wuhan,B,2020-05-29
EPI_ISL_414938,Shandong,,B,2020-03-16
EPI_ISL_405839,Guangdong,Shenzhen,A,2020-01-24
EPI_ISL_421239,Jiangxi,Shangrao,A,2020-04-07
EPI_ISL_416340,Shanghai,,B,2020-03-20
EPI_ISL_428440,Guangdong,Zhuhai,B,2020-04-21
EPI_ISL_452340,Beijing,,B.1,2020-05-27
EPI_ISL_431240,Fujian,,B.1.1.28,2020-04-29
EPI_ISL_430746,Beijing,,B.1,2020-04-27
EPI_ISL_454946,Hubei,Wuhan,B,2020-05-29
EPI_ISL_493150,Hubei,Wuhan,B,2020-07-21
EPI_ISL_428451,Guangdong,Zhuhai,B,2020-04-21
EPI_ISL_411952,Jiangsu,,B,2020-02-22
EPI_ISL_421252,Jiangxi,Pingxiang,B,2020-04-07
EPI_ISL_469253,Shanghai,,B,2020-06-16
EPI_ISL_429854,Zhejiang,Lishui,A,2020-04-24
EPI_ISL_469255,Beijing,,B.1.1,2020-06-17
EPI_ISL_451360,Sichuan,,A,2020-05-24
EPI_ISL_455461,Jiangxi,Yichun,B,2020-05-30
EPI_ISL_421261,Jiangxi,Nanchang,B.4,2020-04-07
EPI_ISL_412052,,,Unassigned,2020-01-21
EPI_ISL_459910,Heilongjiang,Harbin,B,2020-06-05
EPI_ISL_452364,Beijing,,B.4,2020-05-27
EPI_ISL_454915,Hubei,Wuhan,B,2020-05-29
EPI_ISL_412036,Wuhan,,Unassigned,2020-02-09
EPI_ISL_412038,Wuhan,,Unassigned,2020-02-24
EPI_ISL_413886,Guangdong,,Unassigned,2020-03-09
EPI_ISL_413887,Guangdong,,Unassigned,2020-03-09
EPI_ISL_412425,Shandong,Linyi,Unassigned,2020-02-25
EPI_ISL_471461,Guangdong,,Unassigned,2020-06-22
EPI_ISL_412976,Yunnan,Xishuangbanna,Unassigned,2020-03-02
EPI_ISL_412039,Wuhan,,Unassigned,2020-02-09
EPI_ISL_412034,Wuhan,,Unassigned,2020-02-09
EPI_ISL_411966,Shaanxi,HuaShang,Unassigned,2020-02-13
EPI_ISL_406799,Wuhan,,Unassigned,2020-01-30
EPI_ISL_450439,Jiangsu,,Unassigned,2020-04-30
EPI_ISL_412418,Shandong,Linyi,Unassigned,2020-02-25
EPI_ISL_411958,Shaanxi,HuaShang,Unassigned,2020-02-13
EPI_ISL_411959,Shaanxi,HuaShang,Unassigned,2020-02-13
EPI_ISL_411949,Shanghai,,Unassigned,2020-02-22
EPI_ISL_412421,Shandong,Linyi,Unassigned,2020-02-25
EPI_ISL_454989,Hubei,Wuhan,A,2020-05-29
EPI_ISL_454921,Hubei,Wuhan,B,2020-05-29
EPI_ISL_428476,Guangdong,Huizhou,A,2020-04-21
EPI_ISL_454982,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455687,Zhejiang,,A,2020-05-29
EPI_ISL_444969,Guangdong,Guangzhou,B.1,2020-05-14
EPI_ISL_457689,Guangzhou,,A,2020-06-02
EPI_ISL_428478,Guangdong,Dongguan,B,2020-04-21
EPI_ISL_482582,Zhejiang,Hangzhou,B.1.1,2020-07-04
EPI_ISL_453782,Hubei,Wuhan,B,2020-05-27
EPI_ISL_493183,Hubei,Wuhan,A,2020-07-21
EPI_ISL_454978,Hubei,Wuhan,B,2020-05-29
EPI_ISL_408485,Beijing,,A,2020-02-09
EPI_ISL_404228,Zhejiang,,B,2020-01-21
EPI_ISL_513309,Meizhou,,Unassigned,2020-08-07
EPI_ISL_482586,Zhejiang,Hangzhou,B.1,2020-07-04
EPI_ISL_402121,Hubei,Wuhan,B,2020-01-10
EPI_ISL_451395,Sichuan,,B,2020-05-24
EPI_ISL_412422,Shandong,Linyi,Unassigned,2020-02-25
EPI_ISL_457692,Guangzhou,,A,2020-06-02
EPI_ISL_454992,Hubei,Wuhan,B,2020-05-29
EPI_ISL_464095,Zhejiang,Keqiao,A,2020-06-10
EPI_ISL_412045,Shenzhen,,Unassigned,2020-01-14
EPI_ISL_406798,Hubei,Wuhan,B,2020-01-30
EPI_ISL_402123,Hubei,Wuhan,B,2020-01-11
EPI_ISL_452359,Beijing,,B,2020-05-27
EPI_ISL_408482,Shandong,Qingdao,B.4,2020-02-09
EPI_ISL_408486,Jiangxi,Pingxiang,B,2020-02-09
EPI_ISL_408488,Jiangsu,Huaian,B,2020-02-09
EPI_ISL_498694,Liaoning,Dalian,B.1.1.317,2020-07-27
EPI_ISL_575330,Beijing,,B.1,2020-10-08
EPI_ISL_529149,Guangdong,Guangzhou,B,2020-02-28
EPI_ISL_591270,Shandong,Qingdao,B.1.1,2020-10-21
EPI_ISL_416379,Shanghai,,B,2020-03-20
EPI_ISL_431180,Fujian,,B.1.1.28,2020-04-29
EPI_ISL_450430,Jiangsu,,Unassigned,2020-04-30
EPI_ISL_411957,,,B,2020-02-21
EPI_ISL_421232,Hangzhou,,B,2020-04-07
EPI_ISL_406536,Guangdong,Foshan,B,2020-01-29
EPI_ISL_454963,Hubei,Wuhan,B,2020-05-29
EPI_ISL_428455,Guangdong,Yangjiang,B,2020-04-21
EPI_ISL_428469,Guangdong,Zhongshan,B,2020-04-21
EPI_ISL_414687,Guangdong,Guangzhou,B,2020-03-16
EPI_ISL_402132,Hubei,Wuhan,B,2020-01-19
EPI_ISL_451386,Sichuan,,B,2020-05-24
EPI_ISL_402124,Hubei,Wuhan,B,2020-01-11
EPI_ISL_495459,Zhejiang,Lishui,B,2020-07-23
EPI_ISL_416401,Shanghai,,B,2020-03-20
EPI_ISL_493162,Hubei,Wuhan,B,2020-07-21
EPI_ISL_428462,Guangdong,Guangzhou,A,2020-04-21
EPI_ISL_411962,Shaanxi,HuaShang,Unassigned,2020-02-13
EPI_ISL_430732,Beijing,,B.1,2020-04-27
EPI_ISL_428470,Guangdong,Shantou,A,2020-04-21
EPI_ISL_416370,Shanghai,,B,2020-03-20
EPI_ISL_416338,Shanghai,,A,2020-03-20
EPI_ISL_416325,Shanghai,,B,2020-03-20
EPI_ISL_416326,Shanghai,,A,2020-03-20
EPI_ISL_512773,Meizhou,,Unassigned,2020-08-07
EPI_ISL_512769,,,Unassigned,2020-08-12
EPI_ISL_450433,Jiangsu,,Unassigned,2020-04-30
EPI_ISL_412051,,,Unassigned,2020-01-21
EPI_ISL_429853,Zhejiang,Lishui,B,2020-04-24
EPI_ISL_529213,Hubei,Wuhan,A,2020-04-06
EPI_ISL_450426,Anhui,,Unassigned,2020-04-30
EPI_ISL_455690,Zhejiang,,B.1,2020-05-29
EPI_ISL_428448,Guangdong,Shenzhen,A,2020-04-21
EPI_ISL_406595,Guangdong,Shenzhen,B,2020-01-29
EPI_ISL_454979,Hubei,Wuhan,B,2020-05-29
EPI_ISL_430740,Beijing,,B,2020-04-27
EPI_ISL_450429,Jiangsu,,Unassigned,2020-04-30
EPI_ISL_421256,Jiangxi,Jian,B,2020-04-07
EPI_ISL_428464,Guangdong,Zhanjiang,B,2020-04-21
EPI_ISL_493185,Hubei,Wuhan,A,2020-07-21
EPI_ISL_416344,Shanghai,,A,2020-03-20
EPI_ISL_429092,Guangzhou,,A,2020-04-23
EPI_ISL_429098,Guangzhou,,B,2020-04-23
EPI_ISL_428442,Guangdong,Shanwei,B,2020-04-21
EPI_ISL_430737,Beijing,,A,2020-04-27
EPI_ISL_430741,Beijing,,A,2020-04-27
EPI_ISL_451321,Sichuan,,B,2020-05-24
EPI_ISL_451319,Sichuan,,B,2020-05-24
EPI_ISL_451371,Sichuan,,B,2020-05-24
EPI_ISL_451346,Sichuan,,A,2020-05-24
EPI_ISL_455508,Jiangxi,Yingtan,B,2020-05-30
EPI_ISL_457696,Guangzhou,,A,2020-06-02
EPI_ISL_457695,Guangzhou,,A,2020-06-02
EPI_ISL_455688,Zhejiang,,B,2020-05-29
EPI_ISL_413749,Weifang,,A.2,2020-03-09
EPI_ISL_429097,Guangzhou,,B,2020-04-23
EPI_ISL_451325,Sichuan,,B,2020-05-24
EPI_ISL_421264,Hubei,Wuhan,A,2020-04-07
EPI_ISL_428444,Guangdong,Huizhou,B,2020-04-21
EPI_ISL_575329,Gansu,,B,2020-10-08
EPI_ISL_539339,Hunan,Shaoyang,B,2020-09-16
EPI_ISL_539338,Hunan,Shaoyang,B,2020-09-16
EPI_ISL_539337,Hunan,Shaoyang,B,2020-09-16
EPI_ISL_539335,Hunan,Huaihua,B,2020-09-16
EPI_ISL_539334,Hunan,Huaihua,B,2020-09-16
EPI_ISL_539333,Hunan,Huaihua,B,2020-09-16
EPI_ISL_529217,Hubei,Wuhan,B,2020-04-06
EPI_ISL_514752,Beijing,,B,2020-02-09
EPI_ISL_512766,,,Unassigned,2020-08-12
EPI_ISL_497950,Zhejiang,,B.1.1,2020-07-26
EPI_ISL_493190,Hubei,Wuhan,B,2020-07-21
EPI_ISL_493189,Hubei,Wuhan,A,2020-07-21
EPI_ISL_493187,Hubei,Wuhan,B,2020-07-21
EPI_ISL_493186,Hubei,Wuhan,A,2020-07-21
EPI_ISL_493184,Hubei,Wuhan,A,2020-07-21
EPI_ISL_493182,Hubei,Wuhan,B,2020-07-21
EPI_ISL_493181,Hubei,Wuhan,A,2020-07-21
EPI_ISL_493180,Hubei,Wuhan,B,2020-07-21
EPI_ISL_493179,Hubei,Wuhan,B,2020-07-21
EPI_ISL_493174,Hubei,Wuhan,A,2020-07-21
EPI_ISL_493173,Hubei,Wuhan,A,2020-07-21
EPI_ISL_493172,Hubei,Wuhan,B,2020-07-21
EPI_ISL_493168,Hubei,Wuhan,A,2020-07-21
EPI_ISL_493159,Hubei,Wuhan,B,2020-07-21
EPI_ISL_493158,Hubei,Wuhan,B,2020-07-21
EPI_ISL_493155,Hubei,Wuhan,B,2020-07-21
EPI_ISL_493153,Hubei,Wuhan,B,2020-07-21
EPI_ISL_482584,Zhejiang,Hangzhou,B.1.332,2020-07-04
EPI_ISL_482583,Zhejiang,Hangzhou,B.1,2020-07-04
EPI_ISL_482581,Zhejiang,Hangzhou,B.1,2020-07-04
EPI_ISL_482580,Zhejiang,Hangzhou,B.40,2020-07-04
EPI_ISL_482578,Zhejiang,Hangzhou,B.1,2020-07-04
EPI_ISL_482576,Zhejiang,Hangzhou,B,2020-07-04
EPI_ISL_455509,Jiangxi,Yichun,B,2020-05-30
EPI_ISL_455507,Jiangxi,Fuzhou,B,2020-05-30
EPI_ISL_455503,Jiangxi,Yichun,B,2020-05-30
EPI_ISL_455464,Jiangxi,Fuzhou,A,2020-05-30
EPI_ISL_455462,Jiangxi,Fuzhou,A,2020-05-30
EPI_ISL_464102,Zhejiang,Shangyu,B,2020-06-10
EPI_ISL_464099,Zhejiang,Keqiao,B,2020-06-10
EPI_ISL_464098,Zhejiang,Yuecheng,A,2020-06-10
EPI_ISL_464097,Zhejiang,Keqiao,B,2020-06-10
EPI_ISL_464096,Zhejiang,Keqiao,A,2020-06-10
EPI_ISL_463902,Zhejiang,Shangyu,B,2020-06-10
EPI_ISL_463898,Zhejiang,Yuecheng,A,2020-06-10
EPI_ISL_463896,Zhejiang,Keqiao,A,2020-06-10
EPI_ISL_463895,Zhejiang,Keqiao,A,2020-06-10
EPI_ISL_463894,Zhejiang,Keqiao,A,2020-06-10
EPI_ISL_463889,Zhejiang,Shaoxing,A,2020-06-10
EPI_ISL_459909,Heilongjiang,Harbin,B,2020-06-05
EPI_ISL_457693,Guangzhou,,A,2020-06-02
EPI_ISL_457691,Guangzhou,,B,2020-06-02
EPI_ISL_457690,Guangzhou,,A,2020-06-02
EPI_ISL_457688,Guangzhou,,A,2020-06-02
EPI_ISL_457687,Guangzhou,,A,2020-06-02
EPI_ISL_455692,Zhejiang,,A,2020-05-29
EPI_ISL_455683,Zhejiang,,A,2020-05-29
EPI_ISL_455680,Jiangsu,Changzhou,B,2020-05-29
EPI_ISL_455409,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455405,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455401,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455398,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455395,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455394,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455393,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455391,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455390,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455389,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455387,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455385,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455383,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455381,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455379,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455378,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455373,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455372,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455370,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455368,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455367,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455366,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455364,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455363,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455014,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455011,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455008,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455007,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455006,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455005,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455003,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455002,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455000,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454999,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454994,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454987,Hubei,Wuhan,B.4,2020-05-29
EPI_ISL_454977,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454976,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454975,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454974,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454967,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454966,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454965,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454961,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454958,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454954,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454953,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454950,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454948,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454945,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454941,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454939,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454937,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454936,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454932,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454930,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454929,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454925,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454924,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454923,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454922,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454914,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454912,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454911,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454910,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454905,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454904,Hubei,Wuhan,B,2020-05-29
EPI_ISL_453783,Hubei,Wuhan,B,2020-05-27
EPI_ISL_453781,Beijing,,B,2020-05-27
EPI_ISL_452363,Beijing,,B,2020-05-27
EPI_ISL_452361,Beijing,,B,2020-05-27
EPI_ISL_452357,Beijing,,B.4,2020-05-27
EPI_ISL_452353,Beijing,,B.1,2020-05-27
EPI_ISL_452352,Beijing,,B.1,2020-05-27
EPI_ISL_452350,Beijing,,B.1.1,2020-05-27
EPI_ISL_452349,Beijing,,B.1.1,2020-05-27
EPI_ISL_452348,Beijing,,B.1.1,2020-05-27
EPI_ISL_452346,Beijing,,B.1,2020-05-27
EPI_ISL_452333,Beijing,,B.4,2020-05-27
EPI_ISL_451382,Sichuan,,B,2020-05-24
EPI_ISL_451380,Sichuan,,B,2020-05-24
EPI_ISL_451377,Sichuan,,B,2020-05-24
EPI_ISL_451374,Sichuan,,B,2020-05-24
EPI_ISL_451365,Sichuan,,B,2020-05-24
EPI_ISL_451362,Sichuan,,B,2020-05-24
EPI_ISL_451355,Sichuan,,B,2020-05-24
EPI_ISL_451354,Sichuan,,A,2020-05-24
EPI_ISL_451345,Sichuan,,B.1,2020-05-24
EPI_ISL_451343,Sichuan,,B,2020-05-24
EPI_ISL_451341,Sichuan,,B,2020-05-24
EPI_ISL_451337,Sichuan,,B,2020-05-24
EPI_ISL_451329,Sichuan,,B,2020-05-24
EPI_ISL_451326,Sichuan,,B,2020-05-24
EPI_ISL_451322,Sichuan,,B,2020-05-24
EPI_ISL_451312,Sichuan,,B,2020-05-24
EPI_ISL_450503,Hubei,Wuhan,B,2020-03-30
EPI_ISL_450501,Hubei,Wuhan,B,2020-03-30
EPI_ISL_450500,Hubei,Wuhan,B,2020-03-30
EPI_ISL_450489,Hubei,Wuhan,B,2020-03-30
EPI_ISL_450444,Beijing,,B,2020-02-09
EPI_ISL_449487,Wuhan,,B,2020-05-15
EPI_ISL_449486,Wuhan,,B,2020-05-15
EPI_ISL_449482,Wuhan,,A,2020-05-15
EPI_ISL_449481,Wuhan,,A,2020-05-15
EPI_ISL_449479,Wuhan,,B,2020-05-15
EPI_ISL_449478,Wuhan,,B,2020-05-15
EPI_ISL_449477,Wuhan,,B,2020-05-15
EPI_ISL_449476,Wuhan,,B,2020-05-15
EPI_ISL_434559,Beijing,,B.1,2020-04-30
EPI_ISL_431785,Fujian,,A,2020-04-29
EPI_ISL_431780,Fujian,,B.1,2020-04-29
EPI_ISL_431292,Fujian,,B.1.1,2020-04-29
EPI_ISL_430821,Beijing,,B.1,2020-04-27
EPI_ISL_430744,Beijing,,B.1,2020-04-27
EPI_ISL_430743,Beijing,,B.1,2020-04-27
EPI_ISL_430738,Beijing,,A,2020-04-27
EPI_ISL_430736,Beijing,,B,2020-04-27
EPI_ISL_430733,Beijing,,A,2020-04-27
EPI_ISL_430731,Beijing,,A,2020-04-27
EPI_ISL_430730,Beijing,,A,2020-04-27
EPI_ISL_430729,Beijing,,B,2020-04-27
EPI_ISL_430724,Beijing,,A,2020-04-27
EPI_ISL_430722,Beijing,,A,2020-04-27
EPI_ISL_429855,Zhejiang,Lishui,A,2020-04-24
EPI_ISL_429239,Yunnan,,B,2020-04-23
EPI_ISL_429105,Guangzhou,,B,2020-04-23
EPI_ISL_429104,Guangzhou,,B,2020-04-23
EPI_ISL_429103,Guangzhou,,B,2020-04-23
EPI_ISL_429100,Guangzhou,,B,2020-04-23
EPI_ISL_429099,Guangzhou,,A,2020-04-23
EPI_ISL_429095,Guangzhou,,B,2020-04-23
EPI_ISL_429094,Guangzhou,,B,2020-04-23
EPI_ISL_429085,Guangzhou,,B,2020-04-23
EPI_ISL_429084,Guangzhou,,A,2020-04-23
EPI_ISL_429081,Guangzhou,,B,2020-04-23
EPI_ISL_429080,Guangzhou,,B.1,2020-04-23
EPI_ISL_429079,Guangzhou,,B,2020-04-23
EPI_ISL_429078,Guangzhou,,B,2020-04-23
EPI_ISL_429077,Guangzhou,,B,2020-04-23
EPI_ISL_429075,Guangzhou,,A,2020-04-23
EPI_ISL_429074,Guangzhou,,B,2020-04-23
EPI_ISL_428477,Guangdong,Foshan,B,2020-04-21
EPI_ISL_428474,Guangdong,Huizhou,B,2020-04-21
EPI_ISL_428473,Guangdong,Zhuhai,B,2020-04-21
EPI_ISL_428468,Guangdong,Dongguan,B,2020-04-21
EPI_ISL_428466,Guangdong,Dongguan,B,2020-04-21
EPI_ISL_428461,Guangdong,Huizhou,B,2020-04-21
EPI_ISL_428460,Guangdong,Guangzhou,B,2020-04-21
EPI_ISL_428459,Guangdong,Shenzhen,B,2020-04-21
EPI_ISL_428456,Guangdong,Shenzhen,B,2020-04-21
EPI_ISL_428454,Guangdong,Huizhou,B,2020-04-21
EPI_ISL_428453,Guangdong,Huizhou,B,2020-04-21
EPI_ISL_428450,Guangdong,Guangzhou,B,2020-04-21
EPI_ISL_428449,Guangdong,Zhanjiang,A,2020-04-21
EPI_ISL_428446,Guangdong,Zhuhai,B,2020-04-21
EPI_ISL_428445,Guangdong,Huizhou,B,2020-04-21
EPI_ISL_428443,Guangdong,Guangzhou,A,2020-04-21
EPI_ISL_428441,Guangdong,Huizhou,B,2020-04-21
EPI_ISL_424355,Beijing,,A,2020-04-06
EPI_ISL_421262,Jiangxi,Nanchang,B.4,2020-04-07
EPI_ISL_421258,Jiangxi,Shangrao,B,2020-04-07
EPI_ISL_421257,Jiangxi,Shangrao,B,2020-04-07
EPI_ISL_421253,Jiangxi,Jian,B,2020-04-07
EPI_ISL_421250,Jiangxi,Shangrao,B,2020-04-07
EPI_ISL_421246,Jiangxi,Nanchang,A,2020-04-07
EPI_ISL_421245,Jiangxi,Nanchang,A,2020-04-07
EPI_ISL_421242,Jiangxi,Ganzhou,A,2020-04-07
EPI_ISL_421240,Jiangxi,Shangrao,A,2020-04-07
EPI_ISL_421237,Jiangxi,Jiujiang,A,2020-04-07
EPI_ISL_421231,Hangzhou,,B,2020-04-07
EPI_ISL_421224,Hangzhou,,B,2020-04-07
EPI_ISL_421223,Hangzhou,,B,2020-04-07
EPI_ISL_421222,Hangzhou,,B,2020-04-07
EPI_ISL_418991,Hangzhou,,B,2020-04-01
EPI_ISL_418990,Hangzhou,,B,2020-04-01
EPI_ISL_418515,Hangzhou,,B,2020-03-30
EPI_ISL_418506,Hangzhou,,B,2020-03-30
EPI_ISL_418442,Hangzhou,,B,2020-03-30
EPI_ISL_416425,Hangzhou,,B,2020-03-21
EPI_ISL_416402,Shanghai,,A,2020-03-20
EPI_ISL_416400,Shanghai,,B,2020-03-20
EPI_ISL_416399,Shanghai,,B,2020-03-20
EPI_ISL_416398,Shanghai,,B,2020-03-20
EPI_ISL_416397,Shanghai,,B,2020-03-20
EPI_ISL_416396,Shanghai,,B,2020-03-20
EPI_ISL_416395,Shanghai,,B,2020-03-20
EPI_ISL_416393,Shanghai,,B,2020-03-20
EPI_ISL_416389,Shanghai,,B.3.1,2020-03-20
EPI_ISL_416385,Shanghai,,B,2020-03-20
EPI_ISL_416384,Shanghai,,B,2020-03-20
EPI_ISL_416380,Shanghai,,B,2020-03-20
EPI_ISL_416375,Shanghai,,B,2020-03-20
EPI_ISL_416373,Shanghai,,B.4,2020-03-20
EPI_ISL_416365,Shanghai,,B,2020-03-20
EPI_ISL_416364,Shanghai,,B,2020-03-20
EPI_ISL_416363,Shanghai,,B,2020-03-20
EPI_ISL_416362,Shanghai,,B,2020-03-20
EPI_ISL_416361,Shanghai,,B,2020-03-20
EPI_ISL_416359,Shanghai,,B,2020-03-20
EPI_ISL_416356,Shanghai,,B,2020-03-20
EPI_ISL_416355,Shanghai,,B,2020-03-20
EPI_ISL_416354,Shanghai,,B,2020-03-20
EPI_ISL_416352,Shanghai,,A,2020-03-20
EPI_ISL_416351,Shanghai,,B,2020-03-20
EPI_ISL_416350,Shanghai,,B,2020-03-20
EPI_ISL_416349,Shanghai,,B,2020-03-20
EPI_ISL_416348,Shanghai,,B,2020-03-20
EPI_ISL_416346,Shanghai,,B,2020-03-20
EPI_ISL_416345,Shanghai,,B,2020-03-20
EPI_ISL_416343,Shanghai,,B,2020-03-20
EPI_ISL_416342,Shanghai,,B,2020-03-20
EPI_ISL_416339,Shanghai,,B,2020-03-20
EPI_ISL_416334,Shanghai,,B.1,2020-03-20
EPI_ISL_416332,Shanghai,,B.4,2020-03-20
EPI_ISL_416330,Shanghai,,A,2020-03-20
EPI_ISL_416329,Shanghai,,B,2020-03-20
EPI_ISL_416328,Shanghai,,A,2020-03-20
EPI_ISL_416324,Shanghai,,B,2020-03-20
EPI_ISL_416322,Shanghai,,B,2020-03-20
EPI_ISL_416318,Shanghai,,A,2020-03-20
EPI_ISL_416317,Shanghai,,A,2020-03-20
EPI_ISL_416047,Hangzhou,,B,2020-03-20
EPI_ISL_416046,Hangzhou,,B,2020-03-20
EPI_ISL_416042,Hangzhou,,A,2020-03-20
EPI_ISL_415711,Hangzhou,,B,2020-03-19
EPI_ISL_414941,Shandong,,B,2020-03-16
EPI_ISL_414937,Shandong,,B,2020-03-16
